Device,Interface,MAC Address
ES01P,Vlan1,001d.4546.5640
ES01P,Vlan2,001d.4546.5642
ES01P,Vlan3,001d.4546.5643
ES01P,Vlan4,001d.4546.5644
ES01P,Vlan5,001d.4546.5645
ES01P,Vlan6,001d.4546.5646
ES01P,Vlan7,001d.4546.5647
ES01P,Vlan8,001d.4546.5648
ES01P,Vlan9,001d.4546.5649
ES01P,Vlan10,001d.4546.564a
ES01P,FastEthernet0,001d.4546.5639
ES01P,GigabitEthernet1/0/1,001d.4546.5601
ES01P,GigabitEthernet1/0/2,001d.4546.5602
ES01P,GigabitEthernet1/0/3,001d.4546.5603
ES01P,GigabitEthernet1/0/4,001d.4546.5604
ES01P,GigabitEthernet1/0/5,001d.4546.5605
ES01P,GigabitEthernet1/0/6,001d.4546.5606
ES01P,GigabitEthernet1/0/7,001d.4546.5607
ES01P,GigabitEthernet1/0/8,001d.4546.5608
ES01P,GigabitEthernet1/0/9,001d.4546.5609
ES01P,GigabitEthernet1/0/10,001d.4546.560a
ES01P,GigabitEthernet1/0/11,001d.4546.560b
ES01P,GigabitEthernet1/0/12,001d.4546.560c
ES01P,GigabitEthernet1/0/13,001d.4546.560d
ES01P,GigabitEthernet1/0/14,001d.4546.560e
ES01P,GigabitEthernet1/0/15,001d.4546.560f
ES01P,GigabitEthernet1/0/16,001d.4546.5610
ES01P,GigabitEthernet1/0/17,001d.4546.5611
ES01P,GigabitEthernet1/0/18,001d.4546.5612
ES01P,GigabitEthernet1/0/19,001d.4546.5613
ES01P,GigabitEthernet1/0/20,001d.4546.5614
ES01P,GigabitEthernet1/0/21,001d.4546.5615
ES01P,GigabitEthernet1/0/22,001d.4546.5616
ES01P,GigabitEthernet1/0/23,001d.4546.5617
ES01P,GigabitEthernet1/0/24,001d.4546.5618
ES01P,GigabitEthernet1/0/25,001d.4546.5619
ES01P,GigabitEthernet1/0/26,001d.4546.561a
ES01P,GigabitEthernet1/0/27,001d.4546.561b
ES01P,GigabitEthernet1/0/28,001d.4546.561c
ES01P,GigabitEthernet1/0/29,001d.4546.561d
ES01P,GigabitEthernet1/0/30,001d.4546.561e
ES01P,GigabitEthernet1/0/31,001d.4546.561f
ES01P,GigabitEthernet1/0/32,001d.4546.5620
ES01P,GigabitEthernet1/0/33,001d.4546.5621
ES01P,GigabitEthernet1/0/34,001d.4546.5622
ES01P,GigabitEthernet1/0/35,001d.4546.5623
ES01P,GigabitEthernet1/0/36,001d.4546.5624
ES01P,GigabitEthernet1/0/37,001d.4546.5625
ES01P,GigabitEthernet1/0/38,001d.4546.5626
ES01P,GigabitEthernet1/0/39,001d.4546.5627
ES01P,GigabitEthernet1/0/40,001d.4546.5628
ES01P,GigabitEthernet1/0/41,001d.4546.5629
ES01P,GigabitEthernet1/0/42,001d.4546.562a
ES01P,GigabitEthernet1/0/43,001d.4546.562b
ES01P,GigabitEthernet1/0/44,001d.4546.562c
ES01P,GigabitEthernet1/0/45,001d.4546.562d
ES01P,GigabitEthernet1/0/46,001d.4546.562e
ES01P,GigabitEthernet1/0/47,001d.4546.562f
ES01P,GigabitEthernet1/0/48,001d.4546.5641
ES01P,GigabitEthernet1/0/49,001d.4546.5631
ES01P,GigabitEthernet1/0/50,001d.4546.5632
ES01P,GigabitEthernet1/0/51,001d.4546.5633
ES01P,GigabitEthernet1/0/52,001d.4546.5634
ES01P,TenGigabitEthernet1/0/1,001d.4546.5635
ES01P,TenGigabitEthernet1/0/2,001d.4546.5636
ES01P,Port-channel1,0000.0000.0000
ES01P,Port-channel2,0000.0000.0000
